Samples,Neftel,Garofano,ALA_sig_UCell,GPM_UCell,MTC_UCell,NEU_UCell,PPR_UCell,MES2_UCell,MES1_UCell,AC_UCell,OPC_UCell,NPC1_UCell,NPC2_UCell,Injury_UCell,Developmental_UCell
MGH100_P5_A01,AC,MTC,0.125297619,0.023986928,0.14854902,0,0.041281046,0.184810458,0.163267974,0.696416667,0.319091503,0.183137255,0.072993464,0.271022777,0.268849693
MGH100_P5_B07,AC,MTC,0.117366402,0.029934641,0.241411765,0.020013333,0.049411765,0.284895425,0.176143791,0.379325,0.142065359,0.208398693,0.140908497,0.268158563,0.236352249
MGH100_P5_B10,AC,GPM,0.132178571,0.072281046,0.188189542,0,0.040352941,0.17696732,0.274084967,0.733458333,0.20554902,0.135372549,0.073895425,0.271279019,0.268632924
MGH100_P5_C03,AC,MTC,0.126695767,0.025843137,0.247764706,0,0.089947712,0.139281046,0.174405229,0.50705,0.159137255,0.147235294,0.08545098,0.271522558,0.250353783
MGH100_P5_C06,AC,MTC,0.110604497,0.055712418,0.148228758,0.01644,0.035843137,0.216300654,0.255934641,0.714616667,0.230823529,0.120437908,0.068189542,0.273371003,0.253240798
MGH100_P5_D03,AC,GPM,0.126900794,0.040156863,0.15545098,0.025906667,0.042405229,0.202202614,0.203895425,0.636766667,0.19424183,0.121385621,0.095398693,0.273893999,0.254988241
MGH100_P5_D04,AC,MTC,0.109661376,0.056784314,0.188150327,0.0346,0.029686275,0.156647059,0.183856209,0.767766667,0.261973856,0.188509804,0.09020915,0.269259746,0.26247955
MGH100_P5_D07,AC,MTC,0.11502381,0.032019608,0.181424837,0.02896,0,0.146366013,0.146372549,0.644483333,0.367130719,0.27130719,0.079895425,0.268027157,0.258931493
MGH100_P5_D09,AC,MTC,0.118119048,0.060326797,0.241535948,0.017,0.031973856,0.139176471,0.264509804,0.564008333,0.260862745,0.207352941,0.103333333,0.268855015,0.253393661
MGH100_P5_E01,AC,PPR,0.112739418,0.031673203,0.148522876,0,0.150784314,0.138908497,0.170712418,0.502933333,0.234535948,0.167915033,0.083745098,0.268073149,0.244011759
MGH100_P5_E02,AC,MTC,0.104417989,0.047960784,0.184313725,0,0.017202614,0.137843137,0.135738562,0.663633333,0.327339869,0.250143791,0.088444444,0.272703022,0.260748978
MGH100_P5_E08,AC,MTC,0.109619048,0.06375817,0.202437908,0,0.03648366,0.200156863,0.207078431,0.707808333,0.291071895,0.162228758,0.11496732,0.268622865,0.261177403
MGH100_P5_E12,AC,MTC,0.115761905,0.076235294,0.213921569,0.019733333,0.040137255,0.247647059,0.316137255,0.54415,0.17996732,0.121039216,0.086339869,0.27344459,0.245383436
MGH100_P5_F04,AC,PPR,0.112309524,0.043281046,0.131333333,0,0.096993464,0.168117647,0.14469281,0.538266667,0.246026144,0.240718954,0.096653595,0.26248007,0.249556748
MGH100_P5_F11,AC,MTC,0.114428571,0.070281046,0.165013072,0,0.026908497,0.171026144,0.178633987,0.681816667,0.235379085,0.160640523,0.084823529,0.268957074,0.256668712
MGH100_P5_G02,AC,MTC,0.129441799,0.058013072,0.176228758,0.025346667,0.056026144,0.172673203,0.246594771,0.523166667,0.221071895,0.180398693,0.101738562,0.273954446,0.247383947
MGH100_P5_G06,AC,PPR,0.117019841,0.029111111,0.149973856,0,0.062065359,0.18172549,0.216941176,0.48555,0.220326797,0.31772549,0.173058824,0.270021025,0.250441718
MGH100_P5_G09,AC,MTC,0.107671958,0.046392157,0.146418301,0.019293333,0.024091503,0.170339869,0.23054902,0.805233333,0.275124183,0.148738562,0.077333333,0.268623741,0.265121677
MGH100_P5_G12,AC,PPR,0.111051587,0.065359477,0.057830065,0,0.165568627,0.131065359,0.11530719,0.247266667,0.16130719,0.196954248,0.143084967,0.270803767,0.249063906
MGH100_P5_H01,AC,MTC,0.113727513,0.039,0.182352941,0,0.041738562,0.14872549,0.208026144,0.641141667,0.294568627,0.160470588,0.071503268,0.268796321,0.248362986
MGH100_P5_H06,AC,MTC,0.11057672,0.043189542,0.153098039,0,0.048339869,0.25351634,0.20930719,0.551866667,0.238509804,0.17630719,0.096849673,0.266846255,0.251098671
MGH100_P6_A06,AC,MTC,0.111677249,0.060849673,0.196431373,0.027226667,0.07351634,0.387947712,0.241228758,0.579483333,0.183973856,0.139202614,0.104457516,0.271434516,0.255787832
MGH100_P6_B06,AC,PPR,0.103886243,0.060013072,0.143287582,0.02358,0.073084967,0.138248366,0.150575163,0.37755,0.209228758,0.155816993,0.120836601,0.270744196,0.24819683
MGH100_P6_B07,AC,PPR,0.103489418,0.029385621,0.155176471,0,0.245071895,0.098130719,0.119254902,0.357941667,0.23254902,0.263797386,0.134627451,0.263625931,0.246072597
