,TNFA,Inflammatory_response,Injury_response
ABI3BP,,,Injury_response
ALPK2,,,Injury_response
BTBD11,,,Injury_response
ENAM,,,Injury_response
GNA14,,,Injury_response
IL31RA,,,Injury_response
IL6,TNFA,Inflammatory_response,Injury_response
ITGB6,,,Injury_response
MUC17,,,Injury_response
NDST3,,,Injury_response
NMUR1,,Inflammatory_response,
PCSK5,,,Injury_response
PIGR,,,Injury_response
PLS1,,,Injury_response
PTPRQ,,,Injury_response
RBFOX3,,,Injury_response
RELN,,,Injury_response
RYR2,,,Injury_response
TGM4,,,Injury_response
TOR4A,,,Injury_response
UCP2,,,Injury_response
XKR3,,,Injury_response
CD44,TNFA,,
