,width,Sample 27_1,Sample 27_2,Sample 27_5,Sample 27_neg,Sample 27_pos,Sample 28_1,Sample 28_2,Sample 28_5,Sample 28_neg,Sample 28_pos,Sample 29_1,Sample 29_3,Sample 29_5,Sample 29_neg,Sample 29_pos,Sample 30_1,Sample 30_2,Sample 30_5,Sample 30_neg,Sample 30_pos,Sample 31_1,Sample 31_2,Sample 31_5,Sample 31_neg,Sample 31_pos,Sample 33_2,Sample 33_3,Sample 33_5,Sample 33_neg,Sample 33_pos,Sample 34_3,Sample 34_5,Sample 34_6,Sample 34_neg,Sample 34_pos,Sample 37_2,Sample 37_3,Sample 37_5,Sample 37_neg,Sample 37_pos,Sample 38_1,Sample 38_2,Sample 38_5,Sample 38_neg,Sample 38_pos,Sample 40_2,Sample 40_3,Sample 40_5,Sample 40_neg,Sample 40_pos
10,1357,36,58,6,5,0,5,21,11,21,0,6,16,3,0,9,11,24,11,11,0,6,22,10,0,0,3,33,9,0,8,6,1,4,0,0,20,39,10,0,0,38,35,35,0,3,14,11,10,4,10
100,1772,89,89,143,121,0,393,428,233,46,117,202,353,211,0,480,180,273,266,374,0,242,326,241,444,0,80,207,229,101,281,271,340,370,410,1,290,345,215,1,237,386,354,340,280,427,283,274,371,572,361
1000,4813,5677,5265,4671,5515,0,6218,8946,4572,12,491,5878,7382,4402,4,246,11027,8826,17016,2694,0,7437,6635,6463,2349,0,17114,7101,5497,1036,2008,5284,10389,2667,6196,12,6329,5013,5320,0,701,4333,5172,3377,28,1011,13891,14171,10646,6586,6437
10001,2160,659,632,528,581,95,594,751,519,26,107,391,471,569,0,362,586,669,657,611,0,904,782,764,938,0,713,577,443,309,774,585,653,511,742,0,588,542,594,0,168,434,444,407,169,605,431,435,373,712,611
10002,2968,7,10,14,7,0,10,17,16,0,0,10,8,17,0,0,18,11,15,0,5,28,27,27,5,0,3,11,3,0,3,10,9,10,2,0,14,16,9,0,0,7,6,6,0,4,15,11,11,0,5
10003,5140,25,26,62,66,0,165,225,419,0,0,1126,657,638,0,50,1008,561,916,224,0,130,82,117,51,0,122,562,238,1,109,208,110,407,282,0,812,220,520,0,181,441,402,302,30,199,441,573,411,274,280
100038246,1942,0,0,3,0,0,10,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,16,22,22,0,4,0,0,0,0,0
100049587,2253,70,71,85,177,26,241,242,153,0,62,54,158,96,0,215,228,388,115,673,0,73,293,103,963,0,330,222,417,102,1874,551,394,246,330,0,293,430,278,0,444,422,306,480,104,1895,118,72,177,571,702
10007,3369,2901,2377,2065,2075,76,2121,2811,1945,39,214,2541,2582,1835,0,593,2502,2752,2305,2043,0,3297,3411,2714,2303,0,3449,2098,1686,297,3889,4400,4155,1763,3095,1,2831,2875,2229,0,885,3103,2859,2813,356,2202,2986,2940,2106,2034,2827
100073347,1328,2,6,5,21,0,98,88,75,16,9,98,49,57,35,0,7,3,8,5,0,2,2,5,0,0,14,33,11,0,3,2,6,10,4,0,26,17,38,0,0,48,38,50,7,19,76,105,80,116,78
