,Tumor_regions
X305273026,Cellular_tumor
X305952560,Cellular_tumor
X300173630,Cellular_tumor
X300173636,Cellular_tumor
X300629315,Cellular_tumor
X300629344,Cellular_tumor
X300629350,Cellular_tumor
X300629358,Cellular_tumor
X300629403,Cellular_tumor
X300629424,Cellular_tumor
X300629432,Cellular_tumor
X301287570,Cellular_tumor
X301287582,Cellular_tumor
X302262300,Cellular_tumor
X301287613,Cellular_tumor
X301287630,Cellular_tumor
X301287636,Cellular_tumor
X301626681,Cellular_tumor
X301626685,Cellular_tumor
X301626689,Cellular_tumor
X301626693,Cellular_tumor
X301287698,Cellular_tumor
X301287708,Cellular_tumor
X301626597,Cellular_tumor
X301626605,Cellular_tumor
X302264000,Cellular_tumor
X304950286,Cellular_tumor
X304950292,Cellular_tumor
X304357555,Cellular_tumor
X303748303,Cellular_tumor
X303748309,Cellular_tumor
X303748328,Cellular_tumor
X303748260,Cellular_tumor
X303748330,Cellular_tumor
X303748264,Cellular_tumor
X303748334,Cellular_tumor
X303748338,Cellular_tumor
X304950300,Cellular_tumor
X303748342,Cellular_tumor
X304357561,Cellular_tumor
X304357565,Cellular_tumor
X304357518,Cellular_tumor
X304950326,Cellular_tumor
X304950249,Cellular_tumor
X304950261,Cellular_tumor
X304357589,Cellular_tumor
X304357591,Cellular_tumor
X304357595,Cellular_tumor
X304357599,Cellular_tumor
X304357603,Cellular_tumor
X304477573,Cellular_tumor
X304477577,Cellular_tumor
X304477581,Cellular_tumor
X304703655,Cellular_tumor
X304950370,Cellular_tumor
X304950374,Cellular_tumor
X304950405,Cellular_tumor
X304950409,Cellular_tumor
X305272792,Cellular_tumor
X305272798,Cellular_tumor
X305272994,Cellular_tumor
X305273000,Cellular_tumor
X305273032,Cellular_tumor
X305273040,Cellular_tumor
X305461070,Cellular_tumor
X305461076,Cellular_tumor
X305461082,Cellular_tumor
X305405292,Cellular_tumor
X305405298,Cellular_tumor
X305405304,Cellular_tumor
X305461103,Cellular_tumor
X305952558,Cellular_tumor
X305461107,Cellular_tumor
X305952566,Cellular_tumor
X306124406,Cellular_tumor
X306124414,Cellular_tumor
X306124418,Cellular_tumor
X306124422,Cellular_tumor
X306124452,Cellular_tumor
X306124460,Cellular_tumor
X306124486,Cellular_tumor
X306124488,Cellular_tumor
X305952554,Cellular_tumor
X304357512,Cellular_tumor
X304703663,Cellular_tumor
X304950380,Cellular_tumor
X305461115,Cellular_tumor
X305272986,Cellular_tumor
X305272988,Cellular_tumor
X306124511,Cellular_tumor
X305461119,Cellular_tumor
