,Core,Rim,Inv,Neg,Pos
A1CF,0.024393619,0.045062343,0.045353545,0.00935274,1.582884235
A2ML1,1.823440102,1.799280318,2.841611629,1.25699241,0.874754742
A3GALT2,1.04858457,1.018656554,0.940970906,0.441174251,0.550731082
A4GALT,3.011813917,3.589218113,3.323825043,1.821870579,1.92158223
A4GNT,0.591927014,0.558248418,0.476513134,0.155459003,0.319572785
AAAS,6.834640208,6.831884194,6.686152784,4.625043027,4.428174284
AACS,4.710214665,4.798685407,4.996929076,2.82349669,2.280665386
AACSP1,0.206758129,0.19829715,0.33343342,0.744533269,0.53619341
AADACL3,0.032291479,0.006835179,0.004556488,0.007117224,0.175620168
AADACL4,0,0.018770603,0.010097839,0.153752624,0.843234253
AADAT,4.75513904,4.767313932,5.07870458,2.896450395,2.207579339
AAMP,8.135194307,8.158084732,8.237389526,5.772325819,5.095234285
AANAT,1.620258161,1.857247836,2.169657535,1.463374968,2.125374882
AAR2,6.12057409,6.118154409,5.980965368,4.057610592,4.755770708
AARD,0.398293152,0.526190245,0.860051334,0.239739493,0.67180903
AARS1,8.21785644,8.194468333,8.260395199,5.51952345,4.681037133
AASDH,4.212649991,4.048016829,4.244929168,2.244279006,2.54949606
AASS,6.387680253,6.182053952,6.413594637,3.599512171,3.841250735
AATBC,1.323137413,1.230283344,1.366917476,0.453413339,0.635020922
ABAT,7.789527277,7.88073738,8.423834934,5.075003183,3.621316563
ABCA12,0.467284282,0.527473728,0.527502113,0.620084214,0.129843081
ABCA13,1.934061141,1.561737877,0.563065324,0.659001104,1.419430462
ABCA4,0.573337972,0.768840251,0.450655256,0.264475569,0.522973702
ABCA7,4.029411601,4.160533804,4.151602283,4.326476771,3.572451022
ABCA8,4.656835096,4.612272648,5.063054793,3.209225573,4.010638011
ABCA9,2.069813525,2.129907806,2.652475543,0.881047459,2.088350205
ABCB10,4.757598879,4.658489353,4.849248649,3.933003348,2.497429182
ABCB11,0.18562113,0.113154353,0.11619603,0.426355236,0.005332998
ABCB4,2.434621229,2.74427427,2.192903719,1.566783697,2.064457685
ABCB5,0.077044894,0.089353357,0.034395752,0.265729958,0.825115947
ABCB7,5.770919823,5.642999244,5.382477977,4.170840621,3.482227066
ABCB8,5.543362856,5.597956254,5.769387301,4.173373815,4.318304784
ABCC12,0.321264215,0.443698662,0.697046811,0.119595447,0.267445539
ABCC13,0.156268485,0.214096018,0.270740949,1.211252534,0.430362292
ABCC2,0.924238937,0.903264354,0.853852497,1.111601876,0.601296387
